"Date","RegionID","RegionName","State","Metro","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2016-02-29,3162,"Fairfax City","VA","Washington",936,457600,-0.00737527114967462,-0.0205479452054795,-0.0249307479224377,0.0273227894676051,-0.0103942037448425,"2006-05","2006-Q2",516900,-0.114722383439737,"2005-01"
2016-02-29,167,"Gray","TX","Pampa",937,84100,0.004778972520908,-0.00118764845605701,0.0686149936467599,0.0347369364066139,,"2012-05","2012-Q2",86100,-0.0232288037166086,"2012-04"
2016-02-29,623,"Macon","TN","Nashville",938,102000,0.0169491525423729,0.0493827160493827,0.107491856677524,0.0482214100898199,0.0161505101553023,"2016-02","2016-Q1",102000,0,"2016-02"
2016-02-29,1960,"Overton","TN","Cookeville",939,80700,0.00248447204968944,0.0202275600505689,0.0189393939393939,0.0376005730039219,0.0312925587717654,"2015-05","2015-Q2",81700,-0.0122399020807834,"2015-04"
2016-02-29,1739,"Grenada","MS","Grenada",940,98500,-0.00404448938321537,-0.0189243027888446,-0.0971585701191567,-0.00598248331444418,0.0250640179397656,"2013-08","2013-Q3",115700,-0.148660328435609,"2012-09"
2016-02-29,2423,"McDuffie","GA","Augusta",941,77900,0,-0.00510855683269476,0.0103761348897536,0.0224943947595515,-0.00821688668582254,"2009-10","2009-Q4",84900,-0.0824499411071849,"2009-02"
2016-02-29,2475,"Phillips","AR","Helena",942,63800,0.0357142857142857,0.121265377855888,0.443438914027149,0.0507956522554609,0.0330277197878373,"2016-02","2016-Q1",63800,0,"2016-02"
2016-02-29,763,"Union","GA",,943,177100,0.00510783200908059,0.0201612903225806,0.0522875816993464,0.0389504774898828,-0.0126283597366064,"2006-10","2006-Q4",208000,-0.148557692307692,"2005-07"
2016-02-29,75,"Jay","IN",,944,71000,0.00282485875706215,-0.00420757363253857,-0.00699300699300699,0.0478627609464366,-0.0180669554380873,"2005-12","2005-Q4",86000,-0.174418604651163,"2001-06"
2016-02-29,462,"Crook","OR","Prineville",945,212000,0.0104861773117255,0.0371819960861057,0.141011840688913,0.108089520781306,0.000710314308767668,"2006-11","2006-Q4",260300,-0.185555128697657,"2006-03"
2016-02-29,2031,"Spencer","IN",,946,106100,0,-0.0283882783882784,-0.00933706816059757,0.0309542691905405,0.00817901372031771,"2015-08","2015-Q3",116000,-0.0853448275862069,"2014-12"
2016-02-29,1022,"Fulton","IN",,947,85200,-0.00699300699300699,-0.00930232558139535,-0.130612244897959,0.0285882881879698,-0.0195527694271623,"2005-10","2005-Q4",105100,-0.189343482397716,"2001-04"
2016-02-29,2530,"Saunders","NE","Omaha",948,123000,0.00244498777506112,0.0140148392415499,0.130514705882353,0.032150821290873,0.0227732536861323,"2016-02","2016-Q1",123000,0,"2016-02"
2016-02-29,2365,"Kewaunee","WI","Green Bay",949,121000,0.00165562913907285,0.00749375520399667,0.087151841868823,-0.00520692152337721,0.00483697239705472,"2010-03","2010-Q1",137300,-0.118718135469774,"2009-01"
2016-02-29,1139,"La Paz","AZ",,950,129300,-0.00154440154440154,0.01015625,0.111779879621668,0.0467347203568105,-0.00554988794768241,"2007-02","2007-Q1",162200,-0.202836004932182,"2005-10"
2016-02-29,3065,"Washington","NE","Omaha",951,151800,0.00198019801980198,0.011325782811459,0.027063599458728,0.0232807282153804,0.0160151885270461,"2015-06","2015-Q2",155000,-0.0206451612903226,"2015-05"
2016-02-29,200,"Kent","MD",,952,177100,0.000564971751412429,-0.00337647720877884,-0.140708393983503,-0.0383997392001073,-0.0381855493288423,"2007-06","2007-Q2",271500,-0.347697974217311,"2004-06"
2016-02-29,1661,"De Witt","TX",,953,115800,0,0.00173010380622837,0.0692520775623269,0.0658087799874028,,"2015-10","2015-Q4",116100,-0.00258397932816537,"2015-09"
2016-02-29,1288,"Orange","IN",,954,81500,-0.00730816077953715,-0.0377804014167651,-0.085297418630752,0.0279686070125027,0.000368845314629329,"2004-12","2004-Q4",91600,-0.110262008733624,"2004-07"
2016-02-29,2376,"Lampasas","TX","Killeen",955,151500,0.00865512649800266,0.0299116247450714,0.0624123422159888,-0.0148887253525909,0.005861163798901,"2009-06","2009-Q2",185700,-0.184168012924071,"2008-08"
2016-02-29,677,"Perry","IN",,956,95700,0.0148462354188759,0.0562913907284768,0.178571428571429,0.0477279905021872,0.0151990677012008,"2016-02","2016-Q1",95700,0,"2016-02"
2016-02-29,724,"Smith","TN","Nashville",957,120400,0.00922045264040235,0.0255536626916525,0.0451388888888889,0.0361751937196431,0.0183317331319657,"2016-02","2016-Q1",120400,0,"2016-02"
2016-02-29,778,"Union","TN","Knoxville",958,117400,-0.00424088210347752,-0.0200333889816361,0.0120689655172414,0.020832357166612,0.00969705424300349,"2007-05","2007-Q2",123100,-0.0463038180341186,"2006-08"
2016-02-29,2256,"Eastland","TX",,959,93000,0,0.0379464285714286,-0.00641025641025641,0.0259966174480777,,"2013-08","2013-Q3",103100,-0.0979631425800194,"2012-08"
2016-02-29,2728,"Humphreys","TN",,960,103800,0.000964320154291225,-0.00192307692307692,0.0186457311089303,0.0340476870411963,0.01781256994337,"2015-11","2015-Q4",104000,-0.00192307692307692,"2015-11"
2016-02-29,2150,"Brantley","GA","Brunswick",961,101900,-0.00682261208576998,-0.0048828125,0.107608695652174,0.0546409493968791,0.0316764941983134,"2015-12","2015-Q4",103000,-0.0106796116504854,"2015-11"
2016-02-29,1449,"Unicoi","TN","Johnson City",962,99300,0.00100806451612903,0.0101729399796541,0.0665950590762621,0.0308608432344493,,"2016-02","2016-Q1",99300,0,"2016-02"
2016-02-29,1826,"Johnson","TN",,963,97300,0.00412796697626419,-0.00205128205128205,-0.0706781279847182,0.0175355638608545,0.00861666167552944,"2014-11","2014-Q4",107500,-0.0948837209302326,"2014-04"
